zyıa,n,megjelenik,SI,bajusz,sia,
syei,v,lát,SI,bajusz,si,
syī,n,bajusz,SI,,si,
syê,v,fél,SÍ,,sí,
syéi,n,félelem,SÍ,,síi,
syy̌,n,hideg,SÌ,,sì,
zyìu,adj,"kevés, szűkös",SÌ,,sìu,
zyìa,adj,"hideg, halott",SÌ,,sìa,
zyū,n,levél,SU,,su,
zyū,v,nő,SU,növény,su,
zyua,n,gyógynövény,SU,,sua,
zyúo,v,szopik,SÚ,,sú,
syàu,v,pisil,SÙ,,sù,
syàu,n,vizelet,SÙ,,sù,
thā,n,karom,THA,,tha,
thái,n,nincs,THÁ,,thá,a dhẏ hatására vette át ezt a jelentést
dhǎ,v,mászik,THÀ,,thà,
thī,n,fióka,THI,,thi,
thê,n,orr,THÍ,,thí,
dhy̌,pron,hol?,THÌ,,thì,
dhū,n,fa,THU,,thu,
dhàu,v,mindjárt,THÙ,,thù,"> az, ott, közel"
dhǎ,int,nem,THÙ,,thàù,
dhúo,n,test,THÚ,,thú,
mā,n,pocok,WA,,wa,
mái,v,hall,WÁ,,wá,
mái,n,fül,WÁ,,wá,
mào,v,megy,WÀ,,wà,
mī,n,csont,WI,,wi,
wê,v,iszik,WÍ,,wé,
my̌,n,rigó,WÌ,,wì,
ū,v,van,WU,áll,wu,
úo,n,fog,WÚ,,wú,úo
uyù,n,hal,WÙ,,wù,ù
wau,n,úszik,WÙ,,wù,
ufyə,v,áll,WU FA,áll láb,wufa,
yoa,n,beszél,YA,,yaa,
yā,n,mond,YA,,ya,
yái,n,nyúl,YÁ,,yá,
yào,n,tüzelő nő,YÀ,,yà,
yī,n,szem,YI,,yi,
yī,v,néz,YI,,yi,
yê,v,"vonul, megy valahova",YÍ,,yí,
yéao,n,hold,YÍ,,yí,$
yéa,adj,fehér,YÍ,nappal,yía,
yìann,n,gyerek,YÌ,,yìan,
yǐnn,n,kamasz gyerek,YÌ,,yìn,
yìu,adj,kicsi,YÌ,,yìu,$
ywann,n,lúd,YU,,yuan,
yū,n,kacsa,YU,,yu,
myô,n,férfi,YÚ,,yú,
yàu,n,vér,YÙ,,yù,
yàu,v,vérzik,YÙ,,yù,
