fā             [fa]           "láb; lép"
mwadh          [muathúa]      "erőssé válik"
ghòh           [ñusì]         "te (desp.)"
gháh           [ñasá]         "tűz"
syéa           [sía]          "öreg, régi, hatalmas"
syédh          [síathúa]      "öregszik, hatalmassá válik"
alaqh          [araxu]        "legfeljebb"
alày           [arayà]
aláy           [arayú]
wwòm           [fú mù]        "ütközik"
qhīel          [xìi ra]       "gyorsan fut"
zyàgh          [sa ñà]        "zombi"
nagh           [naxa]         "halandó; zsákmányállat"
mēath          [máa tu]       "rend, közösség, igazság"
fadh           [faa ta]       "fordulat, visszavágás, csapás; érv"
hwào           [xúà]          "utolsó, végső"
liào           [rià]          "hajnal"
yəlua          [yía rua]      "fekete-fehér"
hía            [xí ya]        "érdekes dolog"
qhòi           [xùi]          "szó"
rúa            [rúa]          "húst rág"
éi             [yái]          "el; mindjárt"
nırúo          [ni rú]        "barlang, terem, üreg"
amyāqh         [amyǎxa]       "jobban"
məmàm          [wàwàm]
lē             [le]           "te"
yèo            [yàu]
thwào          [thùà]         "lehetetlen, képtelen"
náo            [nàú]
nǎ             [nàà]
fam            [fàwi]         "menés (aor.)"
fáo            [fàwú]         "haladás (cont.)"
fàm            [fàwà]         "elindulás (perf)"
fəmaqh         [fàwaxu]
fəmáng         [fàwáñ]
fəmàng         [fàwàñ]
ngəfàm         [ñàfàm]
ləfàm          [lefàm]
ngēfàm         [ñí éa fàwà]
ngıfàm         [ñí fàwà]
éaləfàm        [éa le fàwà]
myǎr           [myàr]
ngınèo         [ñi nèo]       "álom"
yəngēng        [yañéañ]       "szólító"
aiyùng         [ai yùñ]       "legalább"
hánghann       [xáin gan]     "hegycsúcs"
afəmū          [afàmū]        "gond, jövés-menés"
alàgh          [alaxù]        "legfeljebb"
mudh           [mu tha]       "sólyom"
nu̇fyail       [nu fyáila]    "tökéletesség"
nu̇hel         [nu sáili]     "félidő"
nginn          [ñiu na]       "alvó ember"
qhwann         [qhua na]      "osztályrész, juss"
zyěadh         [sêathà]       "avatár"
fyərúa         [fyé rúa]      "ház"
thəhel         [thá sáili]    "sehol; soha"
thuhann        [thu xan]      "erdei vadász"
thôgh          [thuxú]        "rúd, farönk, oszlop"
mâyqh          [wàixú]        "patak"
ngann          [ñà na]        "elszakad; eltép; elharap"
ngang          [ña ñi]        "nyújtózkodik, tornázik"
qhair          [qhái ru]      "lejtő, domboldal"
nyòdh          [nó thà]       "eunuch"
ngàdh          [ñà thà]       "eunuch"
syīyay         [si ya ya]     "beszélgetés"
miih           [wi éa su]     "ág"
nərəhua        [nura qhua]    "bánat"
syang          [sù ña]        "nyál"
nyang          [ná ñi]        "szeret"
myāng          [màa ñi]       "nyugalom, béke"
syılir         [sáili ra]     "ott, az a hely"
fér            [fyiirá]       "puha fekvőhely"
ryâ            [ráyá]         "szürke"
hıghào         [xi gà]        "leereszt, leenged"
qhidh          [xi ta]        "lemászik"
yǒ             [yò]           "kicsi"
rày            [rá yò]        "bogár, rovar, kavics"
ghal           [gà la]        "bolha; bosszant, idegesít"
fīeh           [fyìi sa]      "bátorság, mersz"
nyânn          [nán]          "kérés, kérlelés"
fèeî           [fìeî]         "akarom"
zyaî           [saî]          "merem"
zyéî           [séî]          "félek, nem merek"
nyáiê          [nyáiî]        "szeretném, kérem"
myaolā         [myào lā]      "Myǎla istennő"
myaohel        [myàosáili]    "jó idő"
namànn         [nàmàn]        "emlék"
lu̇wíe         [luwíi]        "folyó"
mwēqhō         [mùéa xu]      "antróp"
ngithū         [ñiéa thu]     "gyümölcs"
thəhəlehaingghanû[thásáilixáiñganū]"sehol-hegyek"
lānào          [la nào]       "megért"
mayào          [màu yào]      "ember (Felis cattus)"
ghanào         [gàù nào]      "érez"
nānào          [na nào]       "megért"
nēmáiō         [ni máiū]      "egyszerre született testvérek, alom"
mūyô           [mù yó]        "öregember"
umm            [umma]         "öregasszony < Šum umma"
aha            [aséa]         "öreg"
fīenaqh        [fìenaxa]      "zsákmány"
syīyaū         [si yaū]       "hagyomány, mondások"
syīyā          [si yā]        "hagyományoz"
syīyāgh        [si yāx]       "hagyományozó"
syınào         [si nào]       "rajz"
syınàa         [si nàa]       "furcsa, különös, jellegzetes"
syīsyā         [si sā]        "ír"
syīsyagh       [si saxu]      "írnok"
ləlā           [lalā]         "rajta"
òsyy̌           [ù sỳ]         "hal"
qhūyǒ          [qhú yò]       "üreg (embernél kisebb)"
zyūái          [su ái]        "nyál"
wəhair         [wasáira]      "Osiris"
righ           [riga]         "Ra"
anəfào         [anafào]       "Anubis"
nàofy̌          [nào fỳ]       "isten"
hōsyânn        [húo sán]      "sarkcsillag, vezércsillag"
nīnnhōsyân     [nin húo sán]  "Ninxursañ"
thagh          [thaxu]        "sün"
qhu̇hái        [xuhái]        "hajlékonyság, mozgékonyság, karcsúság; befér, átfér, benyomakodik"
nengang        [néi ñañi]     "tágas, kényelmes"
nırōfyê        [nirúo fyé]    "szoba"
fesyā          [fei sā]       "szellő"
syıgh          [sixi]         "szétterül, szétborul"
fyiimǔ         [fyiéa mù]     "ruha"
fyəmfərâ       [fyiéamù fiirâ]"selyem"
syanagh        [sàéa naqha]   "áldozat"
syayānəhā      [saéa ya naqhā]"áldozó pap"
ryāmâyqh       [ryá màiqhú]   "szürke patak"
