fa             [fa]           "láb; lép"
éyà            [ngí yà]       "én"
muyà           [mu yà]        "ő G1f"
muyó           [mu yú]        "ő G1m"
muyì           [mu yì]        "ő G2"
mùyàna         [mù yà na]     "ők"
nànà           [nà nà]        "gondolkodik, gondolat"
mànà           [mà nà]        "jó gondolat"
naghà          [na ñà]        "nyak"
éméng          [ñímíñ]        "jóllakott, elégedett"
ghàng          [ñàñ]          "nyitott száj"
qhan           [xan]          "vadász, ember"
nimái          [ni má]        "szülőhely, fészek"
nàwà           [nà wà]        "elmúlik;múlt"
yangé          [ya ngí]       "név"
fìla           [fìra]         "küld"
ghila          [ñira]         "forog"
áina           [ñá na]        "tiszta"
áinga          [ñá ña]        "mosakszik"
wàu            [wàu]          "válni, lenni"
mùa            [mùa]
nàu            [nuà]          "észrevevés, látás"
yàu            [yuà]          "tekintet, nézés"
yéà            [yíà]          "Hold"
wài            [wài]          "forrás, kút, ér"
sáili          [sá li]        "idő"
sáiné          [sá ní]        "hajnal"
méyàa          [mí yàa]       "nő"
faala          [faa ra]       "láb"
fyáila         [fá ra]        "hegy, csúcs"
lurái          [ru rá]        "padló"
fawà           [fawà]         "megyek"
mufawà         [mu fawà]      "megy G1-G2"
yifawà         [yi fawà]      "megy G3"
mùfawà         [mù fawà]      "megy G4"
nafawà         [na fawà]      "megy G5"
ráifawà        [rá fawà]      "megy G6"
mufaúwà        [mu faúwà]
yifaúwà        [yi faúwà]
mùfaúwà        [mù faúwà]     "éppen megy G4"
nafaúwà        [na faúwà]
ráifaúwà       [rá faúwà]
mufaàwà        [mu faàwà]
yifaàwà        [yi faàwà]
mùfaàwà        [mù faàwà]     "elindul(t) G4"
nafaàwà        [na faàwà]
ráifaàwà       [rá faàwà]
munàú          [mu nàú]
yinàú          [yi nàú]
mùnàú          [mù nàú]       "éppen gondolkodik G4"
nanàú          [na nàú]
ráinàú         [rá nàú]
munàà          [mu nàà]
yinàà          [yi nàà]
mùnàà          [mù nàà]       "rágondol G4"
nanàà          [na nàà]
ráinàà         [rá nàà]
fawàthú        [fawàthú]      "haladóvá válik > "
fawàthúa       [fawàthúa]     "megtetté válik > megtett (út)"
fawàthu        [fawàthu]      "utazgatóvá válik"
nàthú          [nàthú]        "érzékeltté válik > érzékelt"
nàthúa         [nàthúa]       "észrevetté válik > észrevett"
nàthu          [nàthu]        "észrevehető, érzékelhetővé válik "
nathú          [nathú]        "halottá válik válik > érzékelt"
nathúa         [nathúa]       "megöltté válik > észrevett"
nathu          [nathu]        "halandóvá válik "
muathúa        [muathúa]      "erőssé válik"
ghusì          [ñusì]         "te (desp.)"
ghasá          [ñasá]         "tűz"
séa            [sía]          "öreg, régi, hatalmas"
séathúa        [síathúa]      "öregszik, hatalmassá válik"
alaqhu         [araxu]        "legfeljebb"
alayà          [arayà]
alayó          [arayú]
vúomù          [fú mù]        "ütközik"
qhìila         [xìi ra]       "gyorsan fut"
saghà          [sa ñà]        "zombi"
naqha          [naxa]         "halandó; zsákmányállat"
mêathu         [máa tu]       "rend, közösség, igazság"
faatha         [faa ta]       "fordulat, visszavágás, csapás; érv"
húà            [xúà]          "utolsó, végső"
lià            [rià]          "hajnal"
yéalua         [yía rua]      "fekete-fehér"
héya           [xí ya]        "érdekes dolog"
qhùi           [xùi]          "szó"
rúa            [rúa]          "húst rág"
yéi            [yái]          "el; mindjárt"
nirúo          [ni rú]        "barlang, terem, üreg"
