fā             [fa]           "láb; lép"
mmwadh         [muathúa]      "erőssé válik"
ghòh           [ñusì]         "te (desp.)"
gháh           [ñasá]         "tűz"
syéa           [sía]          "öreg, régi, hatalmas"
syêdh          [síathúa]      "öregszik, hatalmassá válik"
alaqh          [araxu]        "legfeljebb"
alày           [arayà]
aláy           [arayú]
wwòm           [fú mù]        "ütközik"
qhiəl          [xìi ra]       "gyorsan fut"
zyǎgh          [sa ñà]        "zombi"
nāgh           [naxa]         "halandó; zsákmányállat"
mēath          [máa tu]       "rend, közösség, igazság"
fādh           [faa ta]       "fordulat, visszavágás, csapás; érv"
huào           [xúà]          "utolsó, végső"
liào           [rià]          "hajnal"
yəlua          [yía rua]      "fekete-fehér"
hía            [xí ya]        "érdekes dolog"
qhòi           [xùi]          "szó"
ruá            [rúa]          "húst rág"
éi             [yái]          "el; mindjárt"
nırúo          [ni rú]        "barlang, terem, üreg"
amyāqh         [amyǎxa]       "jobban"
mmàm           [wàwàm]
lē             [le]           "te"
yèo            [yàu]
thwào          [thùà]         "lehetetlen, képtelen"
náo            [nàú]
nǎ             [nàà]
fam            [fàwi]         "menés (aor.)"
fáo            [fàwú]         "haladás (cont.)"
fàm            [fàwà]         "elindulás (perf)"
fəmaqh         [fàwaxu]
fəmáng         [fàwáñ]
fəmàgh         [fàwàñ]
nngwàm         [ñàfàm]
lwàm           [lefàm]
ngěwam         [ñí éa fàwà]
ngıwàm         [ñí fàwà]
éaləwàm        [éa le fàwà]
myǎr           [myàr]
ngınèo         [ñi nèo]       "álom"
yənnēgh        [yañéañ]       "szólító"
aiyùgh         [ai yùñ]       "legalább"
hánghann       [xáin gan]     "hegycsúcs"
awəmmū         [afàmū]        "gond, jövés-menés"
alàgh          [alaxù]        "legfeljebb"
mūdh           [mu tha]       "sólyom"
nüfyair       [nu fyáila]    "tökéletesség"
nüher         [nu sáili]     "félidő"
nginn          [ñiu na]       "alvó ember"
huann          [qhua na]      "osztályrész, juss"
zyěadh         [sêathà]       "avatár"
fyərúa         [fyé rúa]      "ház"
thel           [thá sáili]    "sehol; soha"
dhūann         [thu xan]      "erdei vadász"
dhôgh          [thuxú]        "rúd, farönk, oszlop"
mâyqh          [wàixú]        "patak"
ngann          [ñà na]        "elszakad; eltép; elharap"
nang           [ña ñi]        "nyújtózkodik, tornázik"
qhair          [qhái ru]      "lejtő, domboldal"
nyǒdh          [nó thà]       "eunuch"
ngǎdh          [ñà thà]       "eunuch"
syīay          [si ya ya]     "beszélgetés"
mīh            [wi éa su]     "ág"
nnrəhua        [nura qhua]    "bánat"
syang          [sù ña]        "nyál"
nyang          [ná ñi]        "szeret"
myāng          [màa ñi]       "nyugalom, béke"
zyılīr         [sáili ra]     "ott, az a hely"
fér            [fyiirá]       "puha fekvőhely"
ryâ            [ráyá]         "szürke"
hıghào         [xi gà]        "leereszt, leenged"
qhīdh          [xi ta]        "lemászik"
yǒ             [yò]           "kicsi"
ày             [rá yò]        "bogár, rovar, kavics"
ghar           [gà la]        "bolha; bosszant, idegesít"
fiəh           [fyìi sa]      "bátorság, mersz"
nyânn          [nán]          "kérés, kérlelés"
fî             [fìeî]         "akarom"
zyaî           [saî]          "merem"
zyî            [séî]          "félek, nem merek"
nyáyê          [nyáiî]        "szeretném, kérem"
myǎla          [myào lā]      "Myǎla istennő"
myāol          [myàosáili]    "jó idő"
namànn         [nàmàn]        "emlék"
lüwíe         [luwíi]        "folyó"
mmwēhō         [mùéa xu]      "antróp"
ngidhū         [ñiéa thu]     "gyümölcs"
thəréngghanû   [thásáilixáiñganū]"sehol-hegyek"
lǎnao          [la nào]       "megért"
mayào          [màu yào]      "ember (Felis cattus)"
ghanào         [gàù nào]      "érez"
nǎnao          [na nào]       "megért"
nêmayō         [ni máiū]      "egyszerre született testvérek, alom"
mwiō           [mù yó]        "öregember"
umm            [umma]         "öregasszony < Šum umma"
aə             [aséa]         "öreg"
fiənnaqh       [fìenaxa]      "zsákmány"
syiao          [si yaū]       "hagyomány, mondások"
syīyā          [si yā]        "hagyományoz"
syīyāgh        [si yāx]       "hagyományozó"
zyınào         [si nào]       "rajz"
zyınǎ          [si nàa]       "furcsa, különös, jellegzetes"
zyīsyā         [si sā]        "ír"
zyīsyagh       [si saxu]      "írnok"
lyā            [lalā]         "rajta"
òsyẙ           [ù sỳ]         "hal"
huiō           [qhú yò]       "üreg (embernél kisebb)"
zyūái          [su ái]        "nyál"
wair           [wasáira]      "Osiris"
rīgh           [riga]         "Ra"
anəwào         [anafào]       "Anubis"
nàofẙ          [nào fỳ]       "isten"
hôsyānn        [húo sán]      "sarkcsillag, vezércsillag"
nīnnhôsyān     [nin húo sán]  "Ninxursañ"
thāgh          [thaxu]        "sün"
ühái          [xuhái]        "hajlékonyság, mozgékonyság, karcsúság; befér, átfér, benyomakodik"
nennang        [néi ñañi]     "tágas, kényelmes"
nırōfyê        [nirúo fyé]    "szoba"
fesyā          [fei sā]       "szellő"
zyıgh          [sixi]         "szétterül, szétborul"
fyeimǔ         [fyiéa mù]     "ruha"
fyəmwərâ       [fyiéamù fiirâ]"selyem"
syanagh        [sàéa naqha]   "áldozat"
syaēnhā        [saéa ya naqhā]"áldozó pap"
râmāyqh        [ryá màiqhú]   "szürke patak"
fyeàm          [fìefàm]       "küldönc, futár"
nyé méi        [ńé méi]       "föld, ország"
zyıēàqh        [zyıyayàx]     "összejövetel"
nóiqh          [nyóix]        "teremtő"
nǎnaon         [nānàon]       "megértés, filozófia"
asyéa          [aśéa]         "öreg"
mmwēzyiao      [mwēśiyaū]     "boszorkány < sámán"
qhiosyẙ        [xiosyẙ]       "hó"
fāwā           [fāfā]         "lépked"
āmàe           [ahamàe]       "folyó"
syāyū          [śāyū]         "lúd"
